id;client;status;billing_interval;email;fees_type;fees
1;Liaison;DISABLE;DAILY;Jeanne.Weber@hotmail.com;FLAT_FEES;65217
2;Sausages payment;DISABLE;MONTHLY;Dakota23@yahoo.com;VARIABLE_FEES;36048
3;overriding Executive action-items;ACTIVE;MONTHLY;Toney96@yahoo.com;VARIABLE_FEES;95877
4;Mobility Soap;ACTIVE;DAILY;Germaine12@yahoo.com;FLAT_FEES;20718
5;encryption Iowa Albania;ACTIVE;DAILY;Brant.King3@yahoo.com;FLAT_FEES;76808
6;action-items Assistant Automotive;ACTIVE;MONTHLY;Aurelie75@hotmail.com;VARIABLE_FEES;61721
7;solution-oriented JBOD;DISABLE;DAILY;Payton_Ratke@yahoo.com;FLAT_FEES;95981
8;leverage function transform;ACTIVE;MONTHLY;Carleton_Klocko@yahoo.com;VARIABLE_FEES;55002
9;Incredible Estonia connect;ACTIVE;MONTHLY;Hudson.Schmidt@yahoo.com;FLAT_FEES;72703
10;enable;DISABLE;DAILY;Stanton66@yahoo.com;FLAT_FEES;23625
